#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
366793:8685,04/29/23 07:36:35,93,82,0.002945114,0.002066468
366794:8685,04/29/23 08:12:10,143,125,0.007739334,0.006474109
366795:8685,04/29/23 09:07:36,106,97,0.008313999,0.007210010
366797:8685,04/29/23 09:48:33,76,68,0.006005690,0.005205688
366798:8685,04/29/23 10:17:55,136,111,0.010119018,0.008158496
366800:8685,04/29/23 11:10:40,101,94,0.003876619,0.002997280
366801:8685,04/29/23 11:49:49,436,429,0.027172543,0.024886347
366802:8685,04/29/23 14:38:53,35,22,0.001959894,0.001127331
366804:8685,04/29/23 14:52:10,156,156,0.007898514,0.007579652
366820:8686,04/29/23 18:11:16,393,388,0.026085374,0.023316040
366821:8686,04/29/23 20:43:28,974,974,0.059528725,0.055505776
366826:8690,04/30/23 08:34:54,38,4,0.000006566,0
366829:8690,04/30/23 08:49:24,252,233,0.015481946,0.012698151
366832:8690,04/30/23 10:27:18,276,258,0.022360501,0.018713744
366833:8690,04/30/23 12:14:15,630,630,0.036470771,0.033968455
366838:8691,04/30/23 18:18:32,136,130,0.008393522,0.007080369
366839:8691,04/30/23 19:10:52,15,8,0.001213391,0.000349839
366840:8691,04/30/23 19:16:26,191,184,0.015731473,0.012494614
366841:8691,04/30/23 20:30:41,259,259,0.019299882,0.017277116
366850:8692,05/01/23 00:56:16,159,159,0.010755976,0.009728465
366862:8694,05/01/23 08:51:43,3,3,0.000248052,0.000244622
366873:8695,05/01/23 11:10:41,403,377,0.062534515,0.053439441
366874:8695,05/01/23 13:46:51,587,567,0.092642350,0.086243015
366876:8695,05/01/23 17:34:52,268,268,0.033210872,0.032363014
366889:8696,05/01/23 21:56:16,1,0,0.000000059,0
366891:8696,05/01/23 22:09:49,253,249,0.040378590,0.034314729
366892:8696,05/01/23 23:47:45,12,8,0.002510141,0.000002280
366893:8696,05/01/23 23:52:21,26,11,0.005375558,0.000001186
366895:8696,05/02/23 00:02:15,1496,1496,0.221318442,0.212330423
366921:8700,05/02/23 19:23:59,81,71,0.000001891,0.000001607
366922:8700,05/02/23 19:55:18,299,299,0.000010646,0.000010547
366933:8701,05/03/23 00:51:37,1184,1184,0.220698758,0.206476426
366956:8702,05/03/23 11:39:01,8,2,0.000000162,0.000000034
366957:8702,05/03/23 11:41:35,19,12,0.000000472,0.000000251
366958:8702,05/03/23 11:48:48,158,137,0.000006138,0.000004744
366962:8702,05/03/23 12:50:07,109,109,0.000007967,0.000007880
366968:8703,05/03/23 15:47:18,28,25,0.000000799,0.000000609
366970:8703,05/03/23 15:57:53,177,127,0.000008421,0.000005196
367018:8709,05/04/23 14:05:27,16,9,0.000000337,0.000000159
367019:8709,05/04/23 14:11:32,57,4,0.000001882,0.000000030
367020:8709,05/04/23 14:33:23,23,14,0.000001067,0.000000581
367021:8709,05/04/23 14:42:06,76,70,0.000004581,0.000004102
367022:8709,05/04/23 15:11:20,23,15,0.000001702,0.000001036
367023:8709,05/04/23 15:19:56,56,53,0.000004284,0.000003813
367024:8709,05/04/23 15:41:22,12,3,0.000000541,0.000000138
367025:8709,05/04/23 15:45:43,6,6,0.000000051,0.000000050
367061:8723,05/05/23 11:14:07,1,0,0.000000012,0
367062:8723,05/05/23 11:31:16,51,44,0.002319406,0.001326936
367063:8723,05/05/23 11:50:57,21,15,0.001082013,0.000644662
367064:8723,05/05/23 11:58:53,490,485,0.037637091,0.032530731
367065:8723,05/05/23 15:09:07,269,269,0.019104054,0.017200157
367069:8724,05/05/23 20:38:50,1,0,0.000000079,0.000000077
367070:8724,05/05/23 20:51:51,396,389,0.066893301,0.054515726
367071:8724,05/05/23 23:25:13,41,34,0.008336551,0.004994981
367072:8724,05/05/23 23:40:54,86,75,0.017349508,0.012259030
367079:8725,05/06/23 03:46:40,733,733,0.133931536,0.124490272
367094:8728,05/06/23 11:16:43,33,15,0.004517035,0.001780834
367095:8728,05/06/23 11:29:01,565,565,0.120084646,0.113178093
367099:8729,05/06/23 17:52:13,1,0,0.000000059,0
367100:8729,05/06/23 18:04:58,365,358,0.074423517,0.068505170
367101:8729,05/06/23 20:26:24,7,1,0.001567850,0.000003362
367102:8729,05/06/23 20:28:47,86,75,0.019332920,0.015601245
367103:8729,05/06/23 21:02:02,76,65,0.017171217,0.013260943
367104:8729,05/06/23 21:31:29,1083,1083,0.196323563,0.188198982
367111:8730,05/07/23 07:17:07,316,307,0.061548060,0.055192711
367112:8730,05/07/23 09:19:35,1446,1446,0.263117023,0.251258837
367127:8731,05/07/23 20:38:57,350,343,0.106507446,0.096925096
367128:8731,05/07/23 22:54:19,20,15,0.007110763,0.003487016
367129:8731,05/07/23 23:01:53,10,6,0.003478900,0.001113448
367130:8731,05/07/23 23:05:47,172,167,0.050974865,0.044960874
367131:8731,05/08/23 00:12:33,152,149,0.041616741,0.038888730
367132:8731,05/08/23 01:11:22,4,1,0.001230525,0.000021050
367133:8731,05/08/23 01:12:45,360,333,0.104622628,0.082013085
367134:8731,05/08/23 03:32:16,86,86,0.025215200,0.024200036
367228:8736,05/08/23 21:41:20,270,265,0.067972980,0.060830945
367229:8736,05/08/23 23:25:47,50,45,0.017578586,0.013583784
367230:8736,05/08/23 23:44:56,10,4,0.003478346,0.000405803
367231:8736,05/08/23 23:48:31,29,22,0.010283184,0.007114809
367232:8736,05/08/23 23:59:29,1000,996,0.333665553,0.318274678
367233:8736,05/09/23 06:27:56,14,3,0.004069974,0
367234:8736,05/09/23 06:33:07,572,572,0.149509793,0.143950627
367260:8738,05/09/23 15:59:58,223,218,0.062427038,0.053799410
367261:8738,05/09/23 17:26:06,16,10,0.005623512,0.000004965
367262:8738,05/09/23 17:32:02,280,272,0.098823482,0.088310593
367263:8738,05/09/23 19:20:28,28,21,0.009729568,0.004360347
367264:8738,05/09/23 19:31:14,855,855,0.236449998,0.225065304
367267:8739,05/10/23 03:32:48,299,291,0.072110466,0.064739724
367268:8739,05/10/23 05:28:21,14,5,0.004889447,0.000000578
367269:8739,05/10/23 05:33:29,40,33,0.014079171,0.009763718
367270:8739,05/10/23 05:48:55,977,962,0.298833217,0.279714689
367271:8739,05/10/23 12:08:09,142,142,0.032401671,0.030880860
367312:8741,05/10/23 19:18:30,249,231,0.054329780,0.045295931
367314:8741,05/10/23 20:54:59,43,36,0.015519171,0.009162757
367315:8741,05/10/23 21:11:42,894,894,0.264667822,0.253307967
367334:8746,05/11/23 09:33:27,329,318,0.101581259,0.089109767
367336:8746,05/11/23 11:40:57,177,169,0.071282301,0.064917072
367337:8746,05/11/23 12:49:41,1067,1067,0.308155084,0.296279824
367352:8749,05/11/23 23:21:32,1,1,0.000076646,0.000076342
367355:8750,05/12/23 01:23:44,23,23,0.004536594,0.004256805
367406:8754,05/12/23 14:30:44,507,501,0.195154368,0.177531097
367413:8754,05/12/23 17:47:13,1403,1367,0.478954620,0.443878059
367415:8754,05/13/23 02:52:02,126,120,0.029604119,0.027330330
367416:8754,05/13/23 03:40:55,62,62,0.013942959,0.013127244
367475:8771,05/14/23 10:27:27,598,594,0.251466690,0.228638162
367476:8771,05/14/23 14:19:39,10,5,0.004505981,0.000006369
367477:8771,05/14/23 14:23:21,1307,1307,0.417828440,0.401407715
367513:8773,05/15/23 05:21:23,1,0,0.000000261,0
367515:8773,05/15/23 05:32:20,660,640,0.266956966,0.239335448
367516:8773,05/15/23 09:48:43,1243,1243,0.440491395,0.415930951
367551:8775,05/15/23 22:02:55,1,0,0.000000245,0
367552:8775,05/15/23 22:13:58,36,31,0.005387814,0.004308219
367553:8775,05/15/23 22:27:38,650,645,0.281403789,0.264221297
367554:8775,05/16/23 02:39:52,313,313,0.131728335,0.124710768
367581:8778,05/16/23 11:30:16,1,0,0,0
367587:8778,05/16/23 12:39:33,9,0,0.000001266,0
367589:8778,05/16/23 12:42:58,786,738,0.000373358,0.000329550
367591:8778,05/16/23 17:48:01,43,37,0.000033737,0.000027219
367592:8778,05/16/23 18:04:41,22,17,0.000017083,0.000010707
367593:8778,05/16/23 18:13:14,100,100,0.000071905,0.000069609
367613:8782,05/17/23 02:28:57,1,0,0.000000202,0.000000198
367615:8782,05/17/23 02:41:13,497,492,0.197948045,0.182022378
367616:8782,05/17/23 05:54:07,11,7,0.005043981,0.000006144
367617:8782,05/17/23 05:58:06,17,11,0.007706537,0.000023383
367618:8782,05/17/23 06:04:32,349,341,0.154136321,0.138337175
367619:8782,05/17/23 08:19:46,584,584,0.189434928,0.182395699
367659:8784,05/17/23 22:02:34,8,0,0.000001813,0.000000013
367661:8784,05/17/23 22:05:41,372,366,0.121018440,0.110490331
367662:8784,05/18/23 00:29:53,23,19,0.010260044,0.007566316
367663:8784,05/18/23 00:38:47,24,5,0.010564943,0.000554090
367664:8784,05/18/23 00:47:59,9,3,0.003944812,0.000000284
367665:8784,05/18/23 00:51:18,280,271,0.124995979,0.112003470
367666:8784,05/18/23 02:39:54,103,103,0.038750875,0.034189282
367690:8786,05/18/23 12:25:07,8,0,0.000001462,0
367691:8786,05/18/23 12:28:13,221,213,0.058597398,0.045839260
367692:8786,05/18/23 13:53:43,14,5,0.006338494,0.000000445
367693:8786,05/18/23 13:58:59,47,35,0.021081745,0.014199149
367694:8786,05/18/23 14:17:01,29,24,0.013265027,0.000001188
367695:8786,05/18/23 14:28:10,9,2,0.004069250,0.000066586
367696:8786,05/18/23 14:31:37,1929,1921,0.659356415,0.624369310
367697:8786,05/19/23 03:01:02,36,17,0.007981845,0.001086766
367699:8786,05/19/23 03:14:54,158,158,0.031041339,0.030062504
367728:8794,05/19/23 17:16:58,13,0,0.000000319,0
367730:8794,05/19/23 17:22:02,569,569,0.208715386,0.194533596
367742:8796,05/20/23 03:10:19,423,423,0.164131172,0.156514107
367756:8804,05/21/23 03:24:06,10,0,0.000000168,0
367758:8804,05/21/23 03:27:49,768,768,0.293647082,0.279080733
367767:8807,05/21/23 14:21:46,1,0,0.000000282,0
367770:8807,05/21/23 14:35:43,167,163,0.051630353,0.046210830
367771:8807,05/21/23 15:40:12,96,91,0.045278802,0.040266491
367772:8807,05/21/23 16:17:10,7,7,0.003196432,0.002567990
367788:8811,05/22/23 02:36:35,8,0,0.000000147,0
367789:8811,05/22/23 02:39:41,43,36,0.003573155,0.001674962
367790:8811,05/22/23 02:56:11,161,161,0.053500412,0.049860406
367830:8816,05/22/23 17:35:18,9,0,0.000000172,0
367831:8816,05/22/23 17:38:27,505,505,0.195766492,0.185559319
367836:8817,05/23/23 00:01:47,557,554,0.236406249,0.222907868
367837:8817,05/23/23 03:37:52,7,2,0.003259182,0.000006488
367838:8817,05/23/23 03:40:32,803,793,0.341861244,0.322013794
367840:8817,05/23/23 08:52:14,617,617,0.184133144,0.176425196
367879:8821,05/23/23 23:18:03,12,0,0.000000249,0
367880:8821,05/23/23 23:22:21,28,25,0.000000569,0.000000421
367881:8821,05/23/23 23:33:06,161,153,0.057330844,0.050346783
367882:8821,05/24/23 00:35:25,14,5,0.006757407,0.000000060
367883:8821,05/24/23 00:40:39,1059,1050,0.497333229,0.467494630
367884:8821,05/24/23 07:31:56,1019,1019,0.329464914,0.317132716
367902:8822,05/24/23 17:27:55,253,245,0.098851897,0.089071255
367903:8822,05/24/23 19:06:13,5,2,0.002415667,0.000007835
367904:8822,05/24/23 19:07:59,112,103,0.053848945,0.044639218
367905:8822,05/24/23 19:51:09,63,49,0.030270341,0.021327874
367906:8822,05/24/23 20:15:19,351,344,0.168779046,0.151127095
367907:8822,05/24/23 22:31:39,127,120,0.060818742,0.051121005
367908:8822,05/24/23 23:20:48,361,358,0.154205879,0.143386752
367909:8822,05/25/23 01:41:02,9,2,0.003450582,0.000005620
367910:8822,05/25/23 01:44:16,594,594,0.198072793,0.191263466
368120:8842,05/29/23 22:14:16,11,0,0.000003890,0
368121:8842,05/29/23 22:18:25,41,41,0.000016817,0.000016664
368221:8850,05/30/23 17:01:42,1,0,0.000000012,0
368223:8850,05/30/23 17:12:25,490,486,0.054139561,0.046262203
368224:8850,05/30/23 20:22:22,63,63,0.007674683,0.007035724
368229:8853,05/31/23 00:05:21,552,552,0.101305157,0.096309933
368318:8858,06/01/23 13:03:30,300,295,0.070143107,0.064742814
368320:8858,06/01/23 14:59:30,289,286,0.082301694,0.078054406
368321:8858,06/01/23 16:51:29,345,344,0.084087277,0.079976929
368331:8860,06/01/23 21:56:28,64,60,0.008004307,0.006593013
368332:8860,06/01/23 22:20:51,20,17,0.003458996,0.002382531
368333:8860,06/01/23 22:28:24,28,25,0.005523705,0.004056703
368334:8860,06/01/23 22:39:12,22,7,0.004683634,0.000853677
368336:8860,06/01/23 22:47:24,222,214,0.072163573,0.057514800
368337:8860,06/02/23 00:13:35,24,17,0.008425561,0.000000734
368338:8860,06/02/23 00:22:40,18,9,0.006386761,0.000000212
368339:8860,06/02/23 00:29:19,14,5,0.004930240,0.000063471
368340:8860,06/02/23 00:34:40,20,16,0.006933393,0.000087460
368341:8860,06/02/23 00:42:23,39,33,0.013191413,0.010333397
368343:8860,06/02/23 00:57:27,1139,1139,0.282982865,0.270438084
368382:8863,06/02/23 15:57:31,787,781,0.226680063,0.213189030
368383:8863,06/02/23 21:02:54,33,26,0.009158192,0.006475893
368384:8863,06/02/23 21:15:40,45,45,0.012152629,0.011476089
368388:8865,06/03/23 00:17:41,1450,1446,0.380182533,0.361357860
368389:8865,06/03/23 09:40:43,202,202,0.036256491,0.034842474
368400:8866,06/03/23 12:45:28,246,246,0.070955160,0.066919644
368409:8870,06/03/23 23:30:10,1,0,0.000000108,0.000000049
368410:8870,06/03/23 23:40:24,1492,1488,0.447445500,0.424378972
368411:8870,06/04/23 09:19:53,14,7,0.003072396,0.001331739
368412:8870,06/04/23 09:25:10,102,102,0.020256204,0.019204216
368423:8872,06/04/23 14:09:54,487,487,0.202096840,0.192552112
368429:8873,06/04/23 19:19:50,47,0,0.009252237,0
368437:8873,06/04/23 19:37:44,37,6,0.010554492,0.001314371
368440:8873,06/04/23 19:51:48,358,352,0.164042956,0.144204923
368442:8873,06/04/23 22:10:52,5,3,0.002406470,0.000005853
368443:8873,06/04/23 22:12:47,170,73,0.079366251,0.033516967
368451:8873,06/04/23 23:18:32,154,145,0.065706705,0.056783796
368452:8873,06/05/23 00:18:15,12,3,0.004847586,0.000172674
368453:8873,06/05/23 00:22:36,11,6,0.004420238,0.000300454
368454:8873,06/05/23 00:26:43,1174,1174,0.345406866,0.331307161
368489:8877,06/05/23 13:00:42,1564,1563,0.546045258,0.523780030
368542:8880,06/06/23 03:43:10,51,41,0.009488289,0.006734541
368546:8880,06/06/23 04:02:45,666,659,0.299913343,0.276815624
368547:8880,06/06/23 08:21:16,723,702,0.262800398,0.235677174
368548:8880,06/06/23 13:02:11,1051,1051,0.249808534,0.240519875
368563:8882,06/06/23 22:15:28,17,2,0.000002438,0.000000202
368565:8882,06/06/23 22:21:44,42,34,0.003582429,0.001147694
368566:8882,06/06/23 22:37:56,1201,1195,0.501223128,0.471112732
368567:8882,06/07/23 06:24:21,440,440,0.130979311,0.125235808
368608:8885,06/08/23 00:09:40,10,0,0.000001341,0
368609:8885,06/08/23 00:13:15,1067,1061,0.431038495,0.409258461
368610:8885,06/08/23 07:07:43,6,2,0.002115820,0.000005282
368611:8885,06/08/23 07:09:42,415,410,0.131011369,0.124488087
368612:8885,06/08/23 09:50:54,13,7,0.003657222,0.001757696
368613:8885,06/08/23 09:55:55,268,268,0.070205223,0.067605700
368636:8887,06/08/23 21:24:44,789,789,0.329338105,0.314392054
368668:8891,06/09/23 12:50:48,11,0,0.000001869,0
368669:8891,06/09/23 12:54:44,416,410,0.168822896,0.157505610
368670:8891,06/09/23 15:36:19,315,308,0.145583632,0.112801902
368671:8891,06/09/23 17:38:43,4,1,0.001772912,0.000010199
368672:8891,06/09/23 17:40:15,937,933,0.318303913,0.303994521
368673:8891,06/09/23 23:44:02,118,11,0.029902141,0.002476428
368674:8891,06/10/23 00:29:40,17,11,0.004195117,0.002358529
368675:8891,06/10/23 00:36:10,57,50,0.013746889,0.010842276
368676:8891,06/10/23 00:58:18,165,156,0.037827718,0.034363437
368678:8891,06/10/23 02:02:09,174,174,0.037037273,0.035672310
368684:8894,06/10/23 07:08:02,119,110,0.033659338,0.027021857
368685:8894,06/10/23 07:53:33,1481,1481,0.580596667,0.556412262
368723:8895,06/10/23 23:57:57,168,162,0.052260613,0.043114978
368724:8895,06/11/23 01:02:33,1201,1201,0.518676266,0.493084860
368746:8896,06/11/23 11:22:55,66,50,0.016344113,0.010559679
368748:8896,06/11/23 11:47:58,12,6,0.004182717,0.000000347
